Sample No.;Reference;V (PbBr2 prec.);c (PbBr2);c (OlAm);c (OA);V (Cs-OA);c (Cs-OA);Cs/Pb;antisolvent;V (antisolvent);Cp;RP (antisolvent);perovskite ?;n (ML);NC shape;monodispersity;PLQY;suggestion;include PLQY;S/P;Age of prec
175;240424;2160;0.01;0.02128;0.02835;402;0.0178;0.331;MeAc;1125;;0.253;1;-;NPL;0;0;nr_of_nano_2_tradeoff_0.1;;P;-
176;240424;2205;0.01;0.02128;0.02835;438;0.0183;0.364;EtAc;1920;;0.228;1;-;NPL;0;0;nr_of_nano_2_tradeoff_2;;P;-
177;240424;625;0.01;0.02128;0.02835;174;0.0119;0.331;EtAc;860;;0.228;1;-;NPL;0;0;nr_of_nano_3_tradeoff_0.1;;P;-
178;240424;4035;0.01;0.02128;0.02835;147;0.23;0.838;MeOH;845;;0.762;1;12;NC;1;0.0676;nr_of_nano_3_tradeoff_2;1;P;-
179;240424;675;0.01;0.02128;0.02835;197;0.0132;0.385;n-BuOH;1120;;0.586;1;3;NPL;1;0.2232;nr_of_nano_4_tradeoff_0.1;1;P;-
180;240424;695;0.01;0.02128;0.02835;249;0.0173;0.62;i-PrOH;1155;;0.546;1;-;NPL;0;0.6324;nr_of_nano_4_tradeoff_2;;P;-
181;240424;1395;0.01;0.02128;0.02835;425;0.0134;0.408;n-BuOH;2900;;0.586;1;-;NPL;0;0.2597;nr_of_nano_5_tradeoff_0.1;;P;-
182;240424;695;0.01;0.02128;0.02835;221;0.0127;0.404;n-BuOH;3845;;0.586;1;12;NC;1;0.3467;nr_of_nano_5_tradeoff_2;1;P;-
183;240424;1705;0.01;0.02128;0.02835;369;0.0185;0.4;n-BuOH;3950;;0.586;1;-;NPL;0;0.2465;nr_of_nano_6_tradeoff_0.1;;P;-
184;240424;1455;0.01;0.02128;0.02835;381;0.0132;0.346;n-PrOH;4700;;0.617;1;8;NPL;1;0.4538;nr_of_nano_6_tradeoff_2;;P;-
185;240424;1080;0.01;0.02128;0.02835;255;0.0174;0.411;n-BuOH;2385;;0.586;1;-;NPL;0;0.2291;nr_of_nano_7_tradeoff_0.1;;P;-
186;240424;610;0.01;0.02128;0.02835;73;0.0175;0.209;MeOH;4400;;0.762;0;-;-;0;0;nr_of_nano_7_tradeoff_2;;P;-
187;240424;965;0.01;0.02128;0.02835;326;0.0122;0.412;n-BuOH;2575;;0.586;1;-;NPL;0;0.5882;nr_of_nano_8_tradeoff_0.1;;P;-
188;240424;975;0.01;0.02128;0.02835;278;0.0141;0.402;n-BuOH;3600;;0.586;1;-;NPL;0;0.4904;nr_of_nano_8_tradeoff_2;;P;-
189;240516;1810;0.012;0.02553;0.03402;365;0.02;0.336;EtAc;1420;;0.228;1;3;NPL;1;0.3066;nr_of_nano_2_tradeoff_0.1;1;S;-
190;240516;1875;0.007;0.01489;0.019845;223;0.02;0.34;MeAc;977;;0.253;1;3;NPL;1;0.3368;nr_of_nano_2_tradeoff_2;1;S;-
191;240516;2270;0.011;0.0234;0.031185;500;0.02;0.4;EtOH;626;;0.654;1;3;NPL;1;0.1049;nr_of_nano_3_tradeoff_0.1;1;P;-
192;240516;1990;0.007;0.01489;0.019845;445;0.02;0.639;n-BuOH;497;;0.586;1;3;NPL;1;0.2254;nr_of_nano_3_tradeoff_2;1;S;-
193;240513;4505;0.003;0.00638;0.008505;327;0.02;0.484;EtOH;561;;0.654;1;3;NPL;1;0.5376;nr_of_nano_4_tradeoff_0.1;1;S;-
